subject,body,label,timestamp,sender,score,scan_type
Your order #3369 has been confirmed and shipped,"Hello, this is regarding Your order #3369 has been confirmed and shipped. Please let us know if you have any questions or need additional information. We appreciate your attention to this matter.",legitimate,,,,
You won a $1000! Claim your free gift now,"Dear user, You won a $1000! Claim your free gift now. Click here to take immediate action: http://fake-security-5451.com. Do not ignore this important message.",phishing,,,,
Payment overdue: Click to avoid service interruption,"Dear user, Payment overdue: Click to avoid service interruption. Click here to take immediate action: http://fake-security-3676.com. Do not ignore this important message.",phishing,,,,
Training session scheduled for project discussion on next week,"Hello, this is regarding Training session scheduled for project discussion on next week. Please let us know if you have any questions or need additional information. We appreciate your attention to this matter.",legitimate,,,,
Office maintenance scheduled for Tuesday,"Hello, this is regarding Office maintenance scheduled for Tuesday. Please let us know if you have any questions or need additional information. We appreciate your attention to this matter.",legitimate,,,,
Team building event this Saturday at main office,"Hello, this is regarding Team building event this Saturday at main office. Please let us know if you have any questions or need additional information. We appreciate your attention to this matter.",legitimate,,,,
Monthly performance review for Engineering,"Hello, this is regarding Monthly performance review for Engineering. Please let us know if you have any questions or need additional information. We appreciate your attention to this matter.",legitimate,,,,
Software update available for Windows,"Hello, this is regarding Software update available for Windows. Please let us know if you have any questions or need additional information. We appreciate your attention to this matter.",legitimate,,,,
Holiday schedule announcement for July,"Hello, this is regarding Holiday schedule announcement for July. Please let us know if you have any questions or need additional information. We appreciate your attention to this matter.",legitimate,,,,
Invoice #59320 for $499.99 is now available,"Hello, this is regarding Invoice #59320 for $499.99 is now available. Please let us know if you have any questions or need additional information. We appreciate your attention to this matter.",legitimate,,,,
You won a gift card! Claim your free gift now,"Dear user, You won a gift card! Claim your free gift now. Click here to take immediate action: http://fake-security-2641.com. Do not ignore this important message.",phishing,,,,
Reminder: team lunch on Monday at conference room,"Hello, this is regarding Reminder: team lunch on Monday at conference room. Please let us know if you have any questions or need additional information. We appreciate your attention to this matter.",legitimate,,,,
You won a iPhone! Claim your free gift now,"Dear user, You won a iPhone! Claim your free gift now. Click here to take immediate action: http://fake-security-9051.com. Do not ignore this important message.",phishing,,,,
Client meeting rescheduled to tomorrow 2 PM,"Hello, this is regarding Client meeting rescheduled to tomorrow 2 PM. Please let us know if you have any questions or need additional information. We appreciate your attention to this matter.",legitimate,,,,
Invoice #23448 for $149.50 is now available,"Hello, this is regarding Invoice #23448 for $149.50 is now available. Please let us know if you have any questions or need additional information. We appreciate your attention to this matter.",legitimate,,,,
Reminder: conference on Monday at conference room,"Hello, this is regarding Reminder: conference on Monday at conference room. Please let us know if you have any questions or need additional information. We appreciate your attention to this matter.",legitimate,,,,
Meeting scheduled for Tuesday regarding team sync,"Hello, this is regarding Meeting scheduled for Tuesday regarding team sync. Please let us know if you have any questions or need additional information. We appreciate your attention to this matter.",legitimate,,,,
Software update available for iOS,"Hello, this is regarding Software update available for iOS. Please let us know if you have any questions or need additional information. We appreciate your attention to this matter.",legitimate,,,,
Account verification required to prevent deletion,"Dear user, Account verification required to prevent deletion. Click here to take immediate action: http://fake-security-4970.com. Do not ignore this important message.",phishing,,,,
Tax refund available - claim immediately,"Dear user, Tax refund available - claim immediately. Click here to take immediate action: http://fake-security-1766.com. Do not ignore this important message.",phishing,,,,
IMPORTANT: Your membership will expire in 6 days,"Dear user, IMPORTANT: Your membership will expire in 6 days. Click here to take immediate action: http://fake-security-8661.com. Do not ignore this important message.",phishing,,,,
Software update available for Android,"Hello, this is regarding Software update available for Android. Please let us know if you have any questions or need additional information. We appreciate your attention to this matter.",legitimate,,,,
Monthly performance review for HR,"Hello, this is regarding Monthly performance review for HR. Please let us know if you have any questions or need additional information. We appreciate your attention to this matter.",legitimate,,,,
Your order #5290 has been confirmed and shipped,"Hello, this is regarding Your order #5290 has been confirmed and shipped. Please let us know if you have any questions or need additional information. We appreciate your attention to this matter.",legitimate,,,,
Monthly performance review for Sales,"Hello, this is regarding Monthly performance review for Sales. Please let us know if you have any questions or need additional information. We appreciate your attention to this matter.",legitimate,,,,
You won a iPhone! Claim your free gift now,"Dear user, You won a iPhone! Claim your free gift now. Click here to take immediate action: http://fake-security-3023.com. Do not ignore this important message.",phishing,,,,
You won a gift card! Claim your free gift now,"Dear user, You won a gift card! Claim your free gift now. Click here to take immediate action: http://fake-security-4916.com. Do not ignore this important message.",phishing,,,,
New feature release: mobile app now available,"Hello, this is regarding New feature release: mobile app now available. Please let us know if you have any questions or need additional information. We appreciate your attention to this matter.",legitimate,,,,
Your package delivery failed - update address now,"Dear user, Your package delivery failed - update address now. Click here to take immediate action: http://fake-security-2310.com. Do not ignore this important message.",phishing,,,,
Reset your password immediately - security breach,"Dear user, Reset your password immediately - security breach. Click here to take immediate action: http://fake-security-5688.com. Do not ignore this important message.",phishing,,,,
Security breach detected - change password now,"Dear user, Security breach detected - change password now. Click here to take immediate action: http://fake-security-7690.com. Do not ignore this important message.",phishing,,,,
Security breach detected - change password now,"Dear user, Security breach detected - change password now. Click here to take immediate action: http://fake-security-7108.com. Do not ignore this important message.",phishing,,,,
Team building event this next week at online,"Hello, this is regarding Team building event this next week at online. Please let us know if you have any questions or need additional information. We appreciate your attention to this matter.",legitimate,,,,
You won a MacBook! Claim your free gift now,"Dear user, You won a MacBook! Claim your free gift now. Click here to take immediate action: http://fake-security-5313.com. Do not ignore this important message.",phishing,,,,
Budget approval required for mobile app,"Hello, this is regarding Budget approval required for mobile app. Please let us know if you have any questions or need additional information. We appreciate your attention to this matter.",legitimate,,,,
Reset your password immediately - security breach,"Dear user, Reset your password immediately - security breach. Click here to take immediate action: http://fake-security-5865.com. Do not ignore this important message.",phishing,,,,
Meeting scheduled for next week regarding Q4 planning,"Hello, this is regarding Meeting scheduled for next week regarding Q4 planning. Please let us know if you have any questions or need additional information. We appreciate your attention to this matter.",legitimate,,,,
Reset your password immediately - security breach,"Dear user, Reset your password immediately - security breach. Click here to take immediate action: http://fake-security-1565.com. Do not ignore this important message.",phishing,,,,
Security alert: Unusual login detected from Russia,"Dear user, Security alert: Unusual login detected from Russia. Click here to take immediate action: http://fake-security-6843.com. Do not ignore this important message.",phishing,,,,
Invoice #29877 for $499.99 is now available,"Hello, this is regarding Invoice #29877 for $499.99 is now available. Please let us know if you have any questions or need additional information. We appreciate your attention to this matter.",legitimate,,,,
Your order #7425 has been confirmed and shipped,"Hello, this is regarding Your order #7425 has been confirmed and shipped. Please let us know if you have any questions or need additional information. We appreciate your attention to this matter.",legitimate,,,,
Weekly newsletter: new features updates and announcements,"Hello, this is regarding Weekly newsletter: new features updates and announcements. Please let us know if you have any questions or need additional information. We appreciate your attention to this matter.",legitimate,,,,
Account verification required to prevent deletion,"Dear user, Account verification required to prevent deletion. Click here to take immediate action: http://fake-security-4633.com. Do not ignore this important message.",phishing,,,,
URGENT: Your Google account will be suspended in 47 hours,"Dear user, URGENT: Your Google account will be suspended in 47 hours. Click here to take immediate action: http://fake-security-4650.com. Do not ignore this important message.",phishing,,,,
Monthly performance review for Marketing,"Hello, this is regarding Monthly performance review for Marketing. Please let us know if you have any questions or need additional information. We appreciate your attention to this matter.",legitimate,,,,
Budget approval required for website redesign,"Hello, this is regarding Budget approval required for website redesign. Please let us know if you have any questions or need additional information. We appreciate your attention to this matter.",legitimate,,,,
Click here to verify your Netflix account immediately,"Dear user, Click here to verify your Netflix account immediately. Click here to take immediate action: http://fake-security-8361.com. Do not ignore this important message.",phishing,,,,
Training session scheduled for Q4 planning on Monday,"Hello, this is regarding Training session scheduled for Q4 planning on Monday. Please let us know if you have any questions or need additional information. We appreciate your attention to this matter.",legitimate,,,,
Team building event this Friday at online,"Hello, this is regarding Team building event this Friday at online. Please let us know if you have any questions or need additional information. We appreciate your attention to this matter.",legitimate,,,,
Security alert: Unusual login detected from New York,"Dear user, Security alert: Unusual login detected from New York. Click here to take immediate action: http://fake-security-7499.com. Do not ignore this important message.",phishing,,,,
Click here to verify your Google account immediately,"Dear user, Click here to verify your Google account immediately. Click here to take immediate action: http://fake-security-1275.com. Do not ignore this important message.",phishing,,,,
Training session scheduled for Q4 planning on tomorrow,"Hello, this is regarding Training session scheduled for Q4 planning on tomorrow. Please let us know if you have any questions or need additional information. We appreciate your attention to this matter.",legitimate,,,,
Office maintenance scheduled for tomorrow,"Hello, this is regarding Office maintenance scheduled for tomorrow. Please let us know if you have any questions or need additional information. We appreciate your attention to this matter.",legitimate,,,,
Account verification required to prevent deletion,"Dear user, Account verification required to prevent deletion. Click here to take immediate action: http://fake-security-6589.com. Do not ignore this important message.",phishing,,,,
Reset your password immediately - security breach,"Dear user, Reset your password immediately - security breach. Click here to take immediate action: http://fake-security-7729.com. Do not ignore this important message.",phishing,,,,
Invoice #58241 for $499.99 is now available,"Hello, this is regarding Invoice #58241 for $499.99 is now available. Please let us know if you have any questions or need additional information. We appreciate your attention to this matter.",legitimate,,,,
Tax refund available - claim immediately,"Dear user, Tax refund available - claim immediately. Click here to take immediate action: http://fake-security-1958.com. Do not ignore this important message.",phishing,,,,
Payment overdue: Click to avoid service interruption,"Dear user, Payment overdue: Click to avoid service interruption. Click here to take immediate action: http://fake-security-7880.com. Do not ignore this important message.",phishing,,,,
Project Phoenix status report - 77% complete,"Hello, this is regarding Project Phoenix status report - 77% complete. Please let us know if you have any questions or need additional information. We appreciate your attention to this matter.",legitimate,,,,
Office maintenance scheduled for Monday,"Hello, this is regarding Office maintenance scheduled for Monday. Please let us know if you have any questions or need additional information. We appreciate your attention to this matter.",legitimate,,,,
Meeting scheduled for Friday regarding team sync,"Hello, this is regarding Meeting scheduled for Friday regarding team sync. Please let us know if you have any questions or need additional information. We appreciate your attention to this matter.",legitimate,,,,
Office maintenance scheduled for Friday,"Hello, this is regarding Office maintenance scheduled for Friday. Please let us know if you have any questions or need additional information. We appreciate your attention to this matter.",legitimate,,,,
You won a iPhone! Claim your free gift now,"Dear user, You won a iPhone! Claim your free gift now. Click here to take immediate action: http://fake-security-9227.com. Do not ignore this important message.",phishing,,,,
Meeting scheduled for tomorrow regarding project discussion,"Hello, this is regarding Meeting scheduled for tomorrow regarding project discussion. Please let us know if you have any questions or need additional information. We appreciate your attention to this matter.",legitimate,,,,
Invoice #53522 for $99.99 is now available,"Hello, this is regarding Invoice #53522 for $99.99 is now available. Please let us know if you have any questions or need additional information. We appreciate your attention to this matter.",legitimate,,,,
Click here to verify your Apple account immediately,"Dear user, Click here to verify your Apple account immediately. Click here to take immediate action: http://fake-security-8331.com. Do not ignore this important message.",phishing,,,,
Security breach detected - change password now,"Dear user, Security breach detected - change password now. Click here to take immediate action: http://fake-security-8296.com. Do not ignore this important message.",phishing,,,,
URGENT: Your Facebook account will be suspended in 39 hours,"Dear user, URGENT: Your Facebook account will be suspended in 39 hours. Click here to take immediate action: http://fake-security-4955.com. Do not ignore this important message.",phishing,,,,
New feature release: advanced analytics now available,"Hello, this is regarding New feature release: advanced analytics now available. Please let us know if you have any questions or need additional information. We appreciate your attention to this matter.",legitimate,,,,
Account verification required to prevent deletion,"Dear user, Account verification required to prevent deletion. Click here to take immediate action: http://fake-security-3110.com. Do not ignore this important message.",phishing,,,,
Meeting scheduled for Monday regarding project discussion,"Hello, this is regarding Meeting scheduled for Monday regarding project discussion. Please let us know if you have any questions or need additional information. We appreciate your attention to this matter.",legitimate,,,,
Tax refund available - claim immediately,"Dear user, Tax refund available - claim immediately. Click here to take immediate action: http://fake-security-2802.com. Do not ignore this important message.",phishing,,,,
Reset your password immediately - security breach,"Dear user, Reset your password immediately - security breach. Click here to take immediate action: http://fake-security-1000.com. Do not ignore this important message.",phishing,,,,
Confirm your identity to unlock Facebook features,"Dear user, Confirm your identity to unlock Facebook features. Click here to take immediate action: http://fake-security-7972.com. Do not ignore this important message.",phishing,,,,
IMPORTANT: Your membership will expire in 1 days,"Dear user, IMPORTANT: Your membership will expire in 1 days. Click here to take immediate action: http://fake-security-8832.com. Do not ignore this important message.",phishing,,,,
Account verification required to prevent deletion,"Dear user, Account verification required to prevent deletion. Click here to take immediate action: http://fake-security-1137.com. Do not ignore this important message.",phishing,,,,
Invoice #73640 for $299.00 is now available,"Hello, this is regarding Invoice #73640 for $299.00 is now available. Please let us know if you have any questions or need additional information. We appreciate your attention to this matter.",legitimate,,,,
Training session scheduled for team sync on Friday,"Hello, this is regarding Training session scheduled for team sync on Friday. Please let us know if you have any questions or need additional information. We appreciate your attention to this matter.",legitimate,,,,
Suspicious activity detected on your social media,"Dear user, Suspicious activity detected on your social media. Click here to take immediate action: http://fake-security-1703.com. Do not ignore this important message.",phishing,,,,
Project Gamma status report - 92% complete,"Hello, this is regarding Project Gamma status report - 92% complete. Please let us know if you have any questions or need additional information. We appreciate your attention to this matter.",legitimate,,,,
Action Required: Verify your contact information,"Dear user, Action Required: Verify your contact information. Click here to take immediate action: http://fake-security-7639.com. Do not ignore this important message.",phishing,,,,
Click here to verify your Netflix account immediately,"Dear user, Click here to verify your Netflix account immediately. Click here to take immediate action: http://fake-security-5213.com. Do not ignore this important message.",phishing,,,,
Project Delta status report - 21% complete,"Hello, this is regarding Project Delta status report - 21% complete. Please let us know if you have any questions or need additional information. We appreciate your attention to this matter.",legitimate,,,,
Meeting scheduled for next week regarding team sync,"Hello, this is regarding Meeting scheduled for next week regarding team sync. Please let us know if you have any questions or need additional information. We appreciate your attention to this matter.",legitimate,,,,
Your Credit Card account has been locked - verify now to unlock,"Dear user, Your Credit Card account has been locked - verify now to unlock. Click here to take immediate action: http://fake-security-9552.com. Do not ignore this important message.",phishing,,,,
Team building event this Friday at main office,"Hello, this is regarding Team building event this Friday at main office. Please let us know if you have any questions or need additional information. We appreciate your attention to this matter.",legitimate,,,,
Your package delivery failed - update address now,"Dear user, Your package delivery failed - update address now. Click here to take immediate action: http://fake-security-4374.com. Do not ignore this important message.",phishing,,,,
Reset your password immediately - security breach,"Dear user, Reset your password immediately - security breach. Click here to take immediate action: http://fake-security-2652.com. Do not ignore this important message.",phishing,,,,
Tax refund available - claim immediately,"Dear user, Tax refund available - claim immediately. Click here to take immediate action: http://fake-security-5983.com. Do not ignore this important message.",phishing,,,,
Security breach detected - change password now,"Dear user, Security breach detected - change password now. Click here to take immediate action: http://fake-security-7661.com. Do not ignore this important message.",phishing,,,,
Payment overdue: Click to avoid service interruption,"Dear user, Payment overdue: Click to avoid service interruption. Click here to take immediate action: http://fake-security-6169.com. Do not ignore this important message.",phishing,,,,
You won a MacBook! Claim your free gift now,"Dear user, You won a MacBook! Claim your free gift now. Click here to take immediate action: http://fake-security-6095.com. Do not ignore this important message.",phishing,,,,
Tax refund available - claim immediately,"Dear user, Tax refund available - claim immediately. Click here to take immediate action: http://fake-security-3210.com. Do not ignore this important message.",phishing,,,,
Your package delivery failed - update address now,"Dear user, Your package delivery failed - update address now. Click here to take immediate action: http://fake-security-5696.com. Do not ignore this important message.",phishing,,,,
Your package delivery failed - update address now,"Dear user, Your package delivery failed - update address now. Click here to take immediate action: http://fake-security-1273.com. Do not ignore this important message.",phishing,,,,
Your package delivery failed - update address now,"Dear user, Your package delivery failed - update address now. Click here to take immediate action: http://fake-security-7717.com. Do not ignore this important message.",phishing,,,,
Project Phoenix status report - 26% complete,"Hello, this is regarding Project Phoenix status report - 26% complete. Please let us know if you have any questions or need additional information. We appreciate your attention to this matter.",legitimate,,,,
Office maintenance scheduled for next week,"Hello, this is regarding Office maintenance scheduled for next week. Please let us know if you have any questions or need additional information. We appreciate your attention to this matter.",legitimate,,,,
Tax refund available - claim immediately,"Dear user, Tax refund available - claim immediately. Click here to take immediate action: http://fake-security-5315.com. Do not ignore this important message.",phishing,,,,
Payment overdue: Click to avoid service interruption,"Dear user, Payment overdue: Click to avoid service interruption. Click here to take immediate action: http://fake-security-4407.com. Do not ignore this important message.",phishing,,,,
Suspicious activity detected on your email,"Dear user, Suspicious activity detected on your email. Click here to take immediate action: http://fake-security-1001.com. Do not ignore this important message.",phishing,,,,
Your order #7415 has been confirmed and shipped,"Hello, this is regarding Your order #7415 has been confirmed and shipped. Please let us know if you have any questions or need additional information. We appreciate your attention to this matter.",legitimate,,,,
You won a gift card! Claim your free gift now,"Dear user, You won a gift card! Claim your free gift now. Click here to take immediate action: http://fake-security-4227.com. Do not ignore this important message.",phishing,,,,
You won a $1000! Claim your free gift now,"Dear user, You won a $1000! Claim your free gift now. Click here to take immediate action: http://fake-security-3617.com. Do not ignore this important message.",phishing,,,,
Project Beta status report - 41% complete,"Hello, this is regarding Project Beta status report - 41% complete. Please let us know if you have any questions or need additional information. We appreciate your attention to this matter.",legitimate,,,,
Click here to verify your Google account immediately,"Dear user, Click here to verify your Google account immediately. Click here to take immediate action: http://fake-security-4785.com. Do not ignore this important message.",phishing,,,,
Payment overdue: Click to avoid service interruption,"Dear user, Payment overdue: Click to avoid service interruption. Click here to take immediate action: http://fake-security-8884.com. Do not ignore this important message.",phishing,,,,
Your package delivery failed - update address now,"Dear user, Your package delivery failed - update address now. Click here to take immediate action: http://fake-security-3134.com. Do not ignore this important message.",phishing,,,,
Click here to verify your Google account immediately,"Dear user, Click here to verify your Google account immediately. Click here to take immediate action: http://fake-security-3844.com. Do not ignore this important message.",phishing,,,,
Training session scheduled for project discussion on Tuesday,"Hello, this is regarding Training session scheduled for project discussion on Tuesday. Please let us know if you have any questions or need additional information. We appreciate your attention to this matter.",legitimate,,,,
Reminder: workshop on Friday at cafeteria,"Hello, this is regarding Reminder: workshop on Friday at cafeteria. Please let us know if you have any questions or need additional information. We appreciate your attention to this matter.",legitimate,,,,
You won a gift card! Claim your free gift now,"Dear user, You won a gift card! Claim your free gift now. Click here to take immediate action: http://fake-security-3782.com. Do not ignore this important message.",phishing,,,,
Your order #8601 has been confirmed and shipped,"Hello, this is regarding Your order #8601 has been confirmed and shipped. Please let us know if you have any questions or need additional information. We appreciate your attention to this matter.",legitimate,,,,
Weekly newsletter: industry trends updates and announcements,"Hello, this is regarding Weekly newsletter: industry trends updates and announcements. Please let us know if you have any questions or need additional information. We appreciate your attention to this matter.",legitimate,,,,
Invoice #64797 for $299.00 is now available,"Hello, this is regarding Invoice #64797 for $299.00 is now available. Please let us know if you have any questions or need additional information. We appreciate your attention to this matter.",legitimate,,,,
Reset your password immediately - security breach,"Dear user, Reset your password immediately - security breach. Click here to take immediate action: http://fake-security-1714.com. Do not ignore this important message.",phishing,,,,
Action Required: Verify your contact information,"Dear user, Action Required: Verify your contact information. Click here to take immediate action: http://fake-security-6058.com. Do not ignore this important message.",phishing,,,,
Invoice #38294 for $149.50 is now available,"Hello, this is regarding Invoice #38294 for $149.50 is now available. Please let us know if you have any questions or need additional information. We appreciate your attention to this matter.",legitimate,,,,
Software update available for MacOS,"Hello, this is regarding Software update available for MacOS. Please let us know if you have any questions or need additional information. We appreciate your attention to this matter.",legitimate,,,,
URGENT: Your Google account will be suspended in 35 hours,"Dear user, URGENT: Your Google account will be suspended in 35 hours. Click here to take immediate action: http://fake-security-4160.com. Do not ignore this important message.",phishing,,,,
Suspicious activity detected on your shopping,"Dear user, Suspicious activity detected on your shopping. Click here to take immediate action: http://fake-security-7029.com. Do not ignore this important message.",phishing,,,,
Reset your password immediately - security breach,"Dear user, Reset your password immediately - security breach. Click here to take immediate action: http://fake-security-6169.com. Do not ignore this important message.",phishing,,,,
Holiday schedule announcement for January,"Hello, this is regarding Holiday schedule announcement for January. Please let us know if you have any questions or need additional information. We appreciate your attention to this matter.",legitimate,,,,
Your order #9408 has been confirmed and shipped,"Hello, this is regarding Your order #9408 has been confirmed and shipped. Please let us know if you have any questions or need additional information. We appreciate your attention to this matter.",legitimate,,,,
IMPORTANT: Your membership will expire in 2 days,"Dear user, IMPORTANT: Your membership will expire in 2 days. Click here to take immediate action: http://fake-security-6962.com. Do not ignore this important message.",phishing,,,,
Your eWallet account has been locked - verify now to unlock,"Dear user, Your eWallet account has been locked - verify now to unlock. Click here to take immediate action: http://fake-security-6925.com. Do not ignore this important message.",phishing,,,,
Your order #9661 has been confirmed and shipped,"Hello, this is regarding Your order #9661 has been confirmed and shipped. Please let us know if you have any questions or need additional information. We appreciate your attention to this matter.",legitimate,,,,
Payment overdue: Click to avoid service interruption,"Dear user, Payment overdue: Click to avoid service interruption. Click here to take immediate action: http://fake-security-9160.com. Do not ignore this important message.",phishing,,,,
Budget approval required for cloud migration,"Hello, this is regarding Budget approval required for cloud migration. Please let us know if you have any questions or need additional information. We appreciate your attention to this matter.",legitimate,,,,
Security alert: Unusual login detected from Unknown location,"Dear user, Security alert: Unusual login detected from Unknown location. Click here to take immediate action: http://fake-security-3588.com. Do not ignore this important message.",phishing,,,,
Confirm your identity to unlock Netflix features,"Dear user, Confirm your identity to unlock Netflix features. Click here to take immediate action: http://fake-security-9775.com. Do not ignore this important message.",phishing,,,,
Reset your password immediately - security breach,"Dear user, Reset your password immediately - security breach. Click here to take immediate action: http://fake-security-3590.com. Do not ignore this important message.",phishing,,,,
Click here to verify your Facebook account immediately,"Dear user, Click here to verify your Facebook account immediately. Click here to take immediate action: http://fake-security-6321.com. Do not ignore this important message.",phishing,,,,
IMPORTANT: Your membership will expire in 5 days,"Dear user, IMPORTANT: Your membership will expire in 5 days. Click here to take immediate action: http://fake-security-1737.com. Do not ignore this important message.",phishing,,,,
URGENT: Your Google account will be suspended in 46 hours,"Dear user, URGENT: Your Google account will be suspended in 46 hours. Click here to take immediate action: http://fake-security-1863.com. Do not ignore this important message.",phishing,,,,
Team building event this next week at main office,"Hello, this is regarding Team building event this next week at main office. Please let us know if you have any questions or need additional information. We appreciate your attention to this matter.",legitimate,,,,
Project Beta status report - 61% complete,"Hello, this is regarding Project Beta status report - 61% complete. Please let us know if you have any questions or need additional information. We appreciate your attention to this matter.",legitimate,,,,
Confirm your identity to unlock Facebook features,"Dear user, Confirm your identity to unlock Facebook features. Click here to take immediate action: http://fake-security-1043.com. Do not ignore this important message.",phishing,,,,
Tax refund available - claim immediately,"Dear user, Tax refund available - claim immediately. Click here to take immediate action: http://fake-security-8206.com. Do not ignore this important message.",phishing,,,,
Click here to verify your Microsoft account immediately,"Dear user, Click here to verify your Microsoft account immediately. Click here to take immediate action: http://fake-security-2108.com. Do not ignore this important message.",phishing,,,,
Action Required: Verify your contact information,"Dear user, Action Required: Verify your contact information. Click here to take immediate action: http://fake-security-9012.com. Do not ignore this important message.",phishing,,,,
Tax refund available - claim immediately,"Dear user, Tax refund available - claim immediately. Click here to take immediate action: http://fake-security-3999.com. Do not ignore this important message.",phishing,,,,
Security alert: Unusual login detected from Unknown location,"Dear user, Security alert: Unusual login detected from Unknown location. Click here to take immediate action: http://fake-security-9471.com. Do not ignore this important message.",phishing,,,,
Invoice #21252 for $499.99 is now available,"Hello, this is regarding Invoice #21252 for $499.99 is now available. Please let us know if you have any questions or need additional information. We appreciate your attention to this matter.",legitimate,,,,
Payment overdue: Click to avoid service interruption,"Dear user, Payment overdue: Click to avoid service interruption. Click here to take immediate action: http://fake-security-2776.com. Do not ignore this important message.",phishing,,,,
Team building event this Saturday at online,"Hello, this is regarding Team building event this Saturday at online. Please let us know if you have any questions or need additional information. We appreciate your attention to this matter.",legitimate,,,,
Security alert: Unusual login detected from New York,"Dear user, Security alert: Unusual login detected from New York. Click here to take immediate action: http://fake-security-3960.com. Do not ignore this important message.",phishing,,,,
Tax refund available - claim immediately,"Dear user, Tax refund available - claim immediately. Click here to take immediate action: http://fake-security-3145.com. Do not ignore this important message.",phishing,,,,
Team building event this Friday at conference room,"Hello, this is regarding Team building event this Friday at conference room. Please let us know if you have any questions or need additional information. We appreciate your attention to this matter.",legitimate,,,,
URGENT: Your Microsoft account will be suspended in 25 hours,"Dear user, URGENT: Your Microsoft account will be suspended in 25 hours. Click here to take immediate action: http://fake-security-2930.com. Do not ignore this important message.",phishing,,,,
IMPORTANT: Your membership will expire in 3 days,"Dear user, IMPORTANT: Your membership will expire in 3 days. Click here to take immediate action: http://fake-security-3198.com. Do not ignore this important message.",phishing,,,,
Security alert: Unusual login detected from China,"Dear user, Security alert: Unusual login detected from China. Click here to take immediate action: http://fake-security-5062.com. Do not ignore this important message.",phishing,,,,
Project Delta status report - 92% complete,"Hello, this is regarding Project Delta status report - 92% complete. Please let us know if you have any questions or need additional information. We appreciate your attention to this matter.",legitimate,,,,
Meeting scheduled for next week regarding budget review,"Hello, this is regarding Meeting scheduled for next week regarding budget review. Please let us know if you have any questions or need additional information. We appreciate your attention to this matter.",legitimate,,,,
Payment overdue: Click to avoid service interruption,"Dear user, Payment overdue: Click to avoid service interruption. Click here to take immediate action: http://fake-security-5314.com. Do not ignore this important message.",phishing,,,,
